Address/City,Address/State,Address/Street,Address/Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
Washington,DC,607 13th St. NW,20005,A01,38.89831447,RD,,,,-77.028078,Metro Center,C01,
Washington,DC,1001 Connecticut Avenue NW,20036,A02,38.90320195,RD,,,,-77.03970083,Farragut North,,
Washington,DC,1525 20th St. NW,20036,A03,38.90959806,RD,,,,-77.04341436,Dupont Circle,,
Washington,DC,"2700 Connecticut Ave., NW",20008,A04,38.92508514,RD,,,,-77.05241802,Woodley Park Zoo,,
Washington,DC,3599 Connecticut Avenue NW,20008,A05,38.93476289,RD,,,,-77.05804252,Cleveland Park,,
Washington,DC,4200 Connecticut Avenue NW,20008,A06,38.94326529,RD,,,,-77.06298618,Van Ness UDC,,
Washington,DC,4501 Wisconsin Avenue NW,20016,A07,38.94885144,RD,,,,-77.07958733,Tenleytown,,
Washington,DC,5337 Wisconsin Avenue NW,20015,A08,38.95948387,RD,,,,-77.08499581,Friendship Heights,,
Bethesda,MD,7450 Wisconsin Avenue,20814,A09,38.98439366,RD,,,,-77.09412919,Bethesda,,
Bethesda,MD,8810 Rockville Pike,20814,A10,39.00005648,RD,,,,-77.09695229,Medical Center,,
Bethesda,MD,10300 Rockville Pike,20852,A11,39.02926895,RD,,,,-77.10384972,Grosvenor,,
Rockville,MD,5500 Marinelli Road,20852,A12,39.04815136,RD,,,,-77.11282986,White Flint,,
Rockville,MD,1600 Chapman Avenue,20852,A13,39.06246765,RD,,,,-77.12081795,Twinbrook,,
Rockville,MD,251 Hungerford Drive,20850,A14,39.08432161,RD,,,,-77.14612534,Rockville,,
Rockville,MD,15903 Somerville Drive,20855,A15,39.11992732,RD,,,,-77.16462733,Shady Grove,,
Washington,DC,630 H St. NW,20001,B01,38.89831681,RD,,,,-77.02191539,Gallery Place,F01,
Washington,DC,450 F Street NW,20001,B02,38.89609032,RD,,,,-77.01663896,Judiciary Square,,
Washington,DC,701 First St. NE,20002,B03,38.89776604,RD,,,,-77.00741429,Union Station,,
Washington,DC,919 Rhode Island Avenue NE,20018,B04,38.92105969,RD,,,,-76.99593692,Rhode Island Avenue,,
Washington,DC,801 Michigan Avenue NE,20017,B05,38.93321099,RD,,,,-76.99453429,Brookland,,
Washington,DC,550 Galloway Street NE,20011,B06,38.95184677,RD,,,,-77.00220308,Fort Totten,E06,
